"route_id","service_id","trip_id","trip_headsign","shape_id"
"11","HOLIDAY","508660","Гагарин","6635"
"11","HOLIDAY","508661","Гагарин","6635"
"11","HOLIDAY","508663","Гагарин","6635"
"11","HOLIDAY","508664","Гагарин","6635"
"11","HOLIDAY","508666","Гагарин","6635"
"11","HOLIDAY","508667","Гагарин","6635"
"11","HOLIDAY","508669","Гагарин","6635"
"11","HOLIDAY","508671","Гагарин","6635"
"11","HOLIDAY","508672","Гагарин","6635"
"11","HOLIDAY","508674","Гагарин","6635"
"11","HOLIDAY","508675","Гагарин","6635"
"11","HOLIDAY","508677","Гагарин","6635"
"11","HOLIDAY","508678","Гагарин","6635"
"11","HOLIDAY","508681","Гагарин","6635"
"11","HOLIDAY","508683","Гагарин","6635"
"11","HOLIDAY","508685","Гагарин","6635"
"11","HOLIDAY","508688","Гагарин","6635"
"19","HOLIDAY","508814","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508815","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508816","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508817","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508818","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508819","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508820","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508821","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508822","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508823","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508824","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508825","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508826","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508827","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508828","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508829","от Радиново към Автоелектроника","6637"
"19","HOLIDAY","508830","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508831","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508832","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508833","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508834","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508835","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508836","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508837","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508838","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508839","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508840","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508841","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508842","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508843","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508844","Стъкларски завод през Радиново","6638"
"19","HOLIDAY","508845","Стъкларски завод през Радиново","6638"
"4","HOLIDAY","508846","Изгрев","6639"
"4","HOLIDAY","508848","Изгрев","6639"
"4","HOLIDAY","508849","Изгрев","6639"
"4","HOLIDAY","508851","Изгрев","6639"
"4","HOLIDAY","508852","Изгрев","6639"
"4","HOLIDAY","508854","Изгрев","6639"
"4","HOLIDAY","508855","Изгрев","6639"
"4","HOLIDAY","508857","Изгрев","6639"
"4","HOLIDAY","508858","Изгрев","6639"
"4","HOLIDAY","508860","Изгрев","6639"
"4","HOLIDAY","508861","Изгрев","6639"
"4","HOLIDAY","508862","Изгрев","6639"
"4","HOLIDAY","508864","Изгрев","6639"
"4","HOLIDAY","508865","Изгрев","6639"
"4","HOLIDAY","508867","Изгрев","6639"
"4","HOLIDAY","508868","Изгрев","6639"
"4","HOLIDAY","508870","Изгрев","6639"
"4","HOLIDAY","508871","Изгрев","6639"
"4","HOLIDAY","508873","Изгрев","6639"
"4","HOLIDAY","508874","Изгрев","6639"
"4","HOLIDAY","508875","Изгрев","6639"
"4","HOLIDAY","508877","Изгрев","6639"
"4","HOLIDAY","508878","Изгрев","6639"
"4","HOLIDAY","508880","Изгрев","6639"
"4","HOLIDAY","508881","Изгрев","6639"
"4","HOLIDAY","508883","Изгрев","6639"
"4","HOLIDAY","508884","Изгрев","6639"
"4","HOLIDAY","508886","Изгрев","6639"
"4","HOLIDAY","508887","Изгрев","6639"
"4","HOLIDAY","508888","Изгрев","6639"
"4","HOLIDAY","508890","Изгрев","6639"
"4","HOLIDAY","508891","Изгрев","6639"
"4","HOLIDAY","508893","Изгрев","6639"
"4","HOLIDAY","508894","Изгрев","6639"
"4","HOLIDAY","508896","Изгрев","6639"
"4","HOLIDAY","508897","Изгрев","6639"
"4","HOLIDAY","508899","Изгрев","6639"
"4","HOLIDAY","508900","Изгрев","6639"
"4","HOLIDAY","508901","Изгрев","6639"
"4","HOLIDAY","508903","Изгрев","6639"
"4","HOLIDAY","508904","Изгрев","6639"
"4","HOLIDAY","508906","Изгрев","6639"
"4","HOLIDAY","508907","Изгрев","6639"
"4","HOLIDAY","508909","Изгрев","6639"
"4","HOLIDAY","508910","Изгрев","6639"
"4","HOLIDAY","508912","Изгрев","6639"
"4","HOLIDAY","508913","Изгрев","6639"
"4","HOLIDAY","508914","Изгрев","6639"
"4","HOLIDAY","508916","Изгрев","6639"
"4","HOLIDAY","508917","Изгрев","6639"
"4","HOLIDAY","508919","Изгрев","6639"
"4","HOLIDAY","508920","Изгрев","6639"
"4","HOLIDAY","508922","Изгрев","6639"
"4","HOLIDAY","508923","Изгрев","6639"
"4","HOLIDAY","508925","Изгрев","6639"
"4","HOLIDAY","508926","Изгрев","6639"
"4","HOLIDAY","508927","Изгрев","6639"
"4","HOLIDAY","508929","Изгрев","6639"
"4","HOLIDAY","508930","Изгрев","6639"
"4","HOLIDAY","508932","Изгрев","6639"
"4","HOLIDAY","508933","Изгрев","6639"
"4","HOLIDAY","508935","Изгрев","6639"
"4","HOLIDAY","508936","Изгрев","6639"
"4","HOLIDAY","508938","Изгрев","6639"
"4","HOLIDAY","508939","Изгрев","6639"
"4","HOLIDAY","508940","Изгрев","6639"
"4","HOLIDAY","508942","Изгрев","6639"
"4","HOLIDAY","508943","Изгрев","6639"
"4","HOLIDAY","508945","Изгрев","6639"
"4","HOLIDAY","508946","Изгрев","6639"
"4","HOLIDAY","508948","Изгрев","6639"
"4","HOLIDAY","508949","Изгрев","6639"
"4","HOLIDAY","508951","Изгрев","6639"
"4","HOLIDAY","508952","Изгрев","6639"
"4","HOLIDAY","508953","Изгрев","6639"
"4","HOLIDAY","508955","Изгрев","6639"
"4","HOLIDAY","508956","Изгрев","6639"
"4","HOLIDAY","508958","Изгрев","6639"
"4","HOLIDAY","508959","Изгрев","6639"
"4","HOLIDAY","508960","Изгрев","6639"
"4","HOLIDAY","508961","Изгрев","6639"
"4","HOLIDAY","508963","Изгрев","6639"
"4","HOLIDAY","508964","Изгрев","6639"
"4","HOLIDAY","508965","Изгрев","6639"
"4","HOLIDAY","508966","Изгрев","6639"
"4","HOLIDAY","508967","Изгрев","6639"
"4","HOLIDAY","508968","Изгрев","6639"
"31","HOLIDAY","509229","Завод Гагарин","6644"
"31","HOLIDAY","509230","Завод Гагарин","6644"
"31","HOLIDAY","509231","Завод Гагарин","6644"
"31","HOLIDAY","509232","Завод Гагарин","6644"
"31","HOLIDAY","509233","Завод Гагарин","6644"
"31","HOLIDAY","509234","Завод Гагарин","6644"
"31","HOLIDAY","509235","Завод Гагарин","6644"
"31","HOLIDAY","509236","Завод Гагарин","6644"
"31","HOLIDAY","509237","Завод Гагарин","6644"
"31","HOLIDAY","509238","Завод Гагарин","6644"
"31","HOLIDAY","509239","Завод Гагарин","6644"
"31","HOLIDAY","509240","Завод Гагарин","6644"
"31","HOLIDAY","509241","Завод Гагарин","6644"
"31","HOLIDAY","509242","Завод Гагарин","6644"
"31","HOLIDAY","509243","Завод Гагарин","6644"
"31","HOLIDAY","509244","Завод Гагарин","6644"
"31","HOLIDAY","509245","Завод Гагарин","6644"
"31","HOLIDAY","509246","Завод Гагарин","6644"
"31","HOLIDAY","509247","Завод Гагарин","6644"
"31","HOLIDAY","509248","Завод Гагарин","6644"
"31","HOLIDAY","509249","Завод Гагарин","6644"
"31","HOLIDAY","509250","Завод Гагарин","6644"
"31","HOLIDAY","509251","Завод Гагарин","6644"
"31","HOLIDAY","509252","Завод Гагарин","6644"
"31","HOLIDAY","509253","Завод Гагарин","6644"
"31","HOLIDAY","509254","Завод Гагарин","6644"
"31","HOLIDAY","509255","Завод Гагарин","6644"
"31","HOLIDAY","509256","Завод Гагарин","6644"
"31","HOLIDAY","509257","Завод Гагарин","6644"
"31","HOLIDAY","509258","Завод Гагарин","6644"
"31","HOLIDAY","509259","Завод Гагарин","6644"
"31","HOLIDAY","509260","Завод Гагарин","6644"
"31","HOLIDAY","509261","Завод Гагарин","6644"
"31","HOLIDAY","509262","Завод Гагарин","6644"
"31","HOLIDAY","509263","Завод Гагарин","6644"
"31","HOLIDAY","509264","Завод Гагарин","6644"
"31","HOLIDAY","509265","Завод Гагарин","6644"
"31","HOLIDAY","509266","Завод Гагарин","6644"
"31","HOLIDAY","509267","Завод Гагарин","6644"
"31","HOLIDAY","509268","Завод Гагарин","6644"
"31","HOLIDAY","509269","Завод Гагарин","6644"
"31","HOLIDAY","509270","Завод Гагарин","6644"
"31","HOLIDAY","509271","Завод Гагарин","6644"
"31","HOLIDAY","509272","Завод Гагарин","6644"
"31","HOLIDAY","509273","Завод Гагарин","6644"
"31","HOLIDAY","509274","Завод Гагарин","6644"
"31","HOLIDAY","509275","Завод Гагарин","6644"
"31","HOLIDAY","509276","Завод Гагарин","6644"
"31","HOLIDAY","509277","Завод Гагарин","6644"
"31","HOLIDAY","509278","Завод Гагарин","6644"
"31","HOLIDAY","509279","Завод Гагарин","6644"
"31","HOLIDAY","509280","Завод Гагарин","6644"
"31","HOLIDAY","509281","Завод Гагарин","6644"
"31","HOLIDAY","509282","Завод Гагарин","6644"
"31","HOLIDAY","509283","Завод Гагарин","6644"
"31","HOLIDAY","509284","Завод Гагарин","6644"
"31","HOLIDAY","509285","Завод Гагарин","6644"
"31","HOLIDAY","509286","Завод Гагарин","6644"
"31","HOLIDAY","509287","Завод Гагарин","6644"
"31","HOLIDAY","509288","Завод Гагарин","6644"
"31","HOLIDAY","509289","Завод Гагарин","6644"
"31","HOLIDAY","509290","Завод Гагарин","6644"
"31","HOLIDAY","509291","Завод Гагарин","6644"
"31","HOLIDAY","509292","Завод Гагарин","6644"
"31","HOLIDAY","509293","Завод Гагарин","6644"
"31","HOLIDAY","509294","Завод Гагарин","6644"
"31","HOLIDAY","509295","Тракия А12","6645"
"31","HOLIDAY","509296","Тракия А12","6645"
"31","HOLIDAY","509297","Тракия А12","6645"
"31","HOLIDAY","509298","Тракия А12","6645"
"31","HOLIDAY","509299","Тракия А12","6645"
"31","HOLIDAY","509300","Тракия А12","6645"
"31","HOLIDAY","509301","Тракия А12","6645"
"31","HOLIDAY","509302","Тракия А12","6645"
"31","HOLIDAY","509303","Тракия А12","6645"
"31","HOLIDAY","509304","Тракия А12","6645"
"31","HOLIDAY","509305","Тракия А12","6645"
"31","HOLIDAY","509306","Тракия А12","6645"
"31","HOLIDAY","509307","Тракия А12","6645"
"31","HOLIDAY","509308","Тракия А12","6645"
"31","HOLIDAY","509309","Тракия А12","6645"
"31","HOLIDAY","509310","Тракия А12","6645"
"31","HOLIDAY","509311","Тракия А12","6645"
"31","HOLIDAY","509312","Тракия А12","6645"
"31","HOLIDAY","509313","Тракия А12","6645"
"31","HOLIDAY","509314","Тракия А12","6645"
