"stop_id","stop_code","stop_name","stop_lat","stop_lon"
"9810","364","жк Тракия бл. 28",42.14078,24.78848
"9811","393","жк Тракия бл.42",42.13838,24.79005
"9812","394","срещу поща Тракия",42.13525,24.78857
"9813","79","кино Феникс",42.13083,24.78984
"9814","298","Институт по конс.пр-ст",42.1655,24.7245
"9815","269","ул. Дилянка (север)",42.16306,24.7253
"9816","295","отстрани на Окръжна болница",42.15789,24.72052
"9817","98","бул. България -хотел С.Петербург",42.15828,24.73364
"9818","272","ул. Победа 1",42.15872,24.73778
"9819","274","срещу Пловдив инвест",42.1505,24.73979
"9820","378","Синия пазар",42.12981,24.74838
"9821","326","Тромпета",42.12441,24.7401
"9822","288","срещу Одлоз",42.11922,24.74762
"9823","287","срещу магазин Рила",42.11901,24.7521
"9824","64","хотел Родопи",42.11812,24.7585
"9825","425","Къщичките",42.11388,24.75919
"9826","286","Мет.конструкции",42.11898,24.75743
"9827","280","магазин Рила",42.1189,24.75291
"9828","61","ІІ Гр.Болница",42.12262,24.74837
"9829","42","срещу магазин Билла - 2",42.1327,24.74505
"9830","92","срещу Практикер",42.15799,24.729
"9831","93","срещу Захарен комбинат",42.15743,24.7255
"9832","270","училище П.Волов",42.16088,24.72185
"9833","297","ул. Дилянка (юг)",42.16288,24.72518
"9834","1003","ПУ - бул. България",42.15688,24.71291
"9835","180","Прослав 2 -Училище",42.1202,24.68459
"9836","1007","Агро Хим/завод Гагарин/",42.1673,24.76184
"9837","1013","след Митница Кукленско шосе",42.10316,24.7609
"9838","1037","бул. Свобода",42.14407,24.72002
"9839","49","Панаира",42.15628,24.74952
"9840","22","срещу комплекс Южен полъх",42.12442,24.7236
"9841","118","пл. Съединение",42.15085,24.74487
"9842","34","бул. Александър Стамболийски",42.12512,24.7211
"9843","35","комплекс Южен полъх",42.124,24.72405
"9844","1002","Прослав - последна",42.1201,24.6773
"9845","52","срещу Гиганта",42.16322,24.74326
"9846","53","Ален мак",42.17283,24.74238
"9847","54","срещу Петрол",42.1787,24.7411
"9848","55","ТЕЦ Север",42.18317,24.73891
"9849","145","ул. Елин Пелин",42.12291,24.68777
"9850","179","ул. Б.Петров",42.1235,24.68439
"9851","147","срещу ОДЗ  Боряна",42.12762,24.6894
"9852","151","срещу Хирургиите",42.13683,24.71643
"9853","153","срещу ПГЕЕ",42.14006,24.72999
